ParcelID,Status,Purchaser_Name,Phone_Number,Email_Address,Purchase_ID,Display_Preference,Area_SqM,Price_Naira,Sale_Date,Service_Fee_Due,Payment_Status
1,Available,,,,,,458.43,15000000,,,
2,Available,,,,,,463.86,15000000,,,
3,Available,,,,,,463.86,15000000,,,
4,Available,,,,,,463.86,15000000,,,
5,Available,,,,,,463.85,15000000,,,
6,Available,,,,,,465.16,15000000,,,
7,Available,,,,,,665.51,15000000,,,
8,Available,,,,,,466.2,15000000,,,
9,Available,,,,,,465.58,15000000,,,
10,Available,,,,,,474.57,15000000,,,
11,Available,,,,,,470.95,15000000,,,
12,Available,,,,,,463.32,15000000,,,
13,Available,,,,,,471.15,15000000,,,
14,Available,,,,,,503.72,15000000,,,
15,Available,,,,,,463.05,15000000,,,
16,Available,,,,,,464.8,15000000,,,
17,Available,,,,,,477.48,15000000,,,
18,Available,,,,,,462.08,15000000,,,
19,Available,,,,,,447.6,15000000,,,
20,Available,,,,,,502.17,15000000,,,
21,Available,,,,,,463.75,15000000,,,
22,Available,,,,,,458.42,15000000,,,
23,Available,,,,,,463.86,15000000,,,
24,Available,,,,,,473.89,15000000,,,
25,Available,,,,,,476.82,15000000,,,
26,Available,,,,,,459.52,15000000,,,
27,Available,,,,,,463.51,15000000,,,
28,Available,,,,,,458.93,15000000,,,
29,Available,,,,,,456.44,15000000,,,
30,Available,,,,,,459.64,15000000,,,
31,Available,,,,,,458.43,15000000,,,
32,Available,,,,,,479.95,15000000,,,
33,Available,,,,,,471.31,15000000,,,
34,Available,,,,,,490.23,15000000,,,
OS/1,Available,,,,,,120.86,15000000,,,
Path,Available,,,,,,63.36,15000000,,,
